Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.62,0.4580152671755725,0.5825242718446602,0.5128205128205128,0.686609827016904
HYBRID (Stacking Ensemble),0.6733333333333333,0.5555555555555556,0.24271844660194175,0.33783783783783783,0.6614755310236065
Random Forest,0.6533333333333333,0.4918032786885246,0.2912621359223301,0.36585365853658536,0.6604405894238824
SVM,0.6366666666666667,0.47540983606557374,0.5631067961165048,0.5155555555555555,0.6544034300921591
Gradient Boosting,0.6433333333333333,0.46774193548387094,0.2815533980582524,0.3515151515151515,0.6460992558277068
